full_name,email,phone
Sam Lee,sam.lee1@gmail.com,59083016
Alex Cheung,alex.cheung2@gmail.com,39099603
Casey Lee,casey.lee3@gmail.com,94821993
Alex Yip,alex.yip4@yahoo.com,78657975
Taylor Lee,alex.chan5@gmail.com,87574911
Jamie Lee,jamie.lee6@example.com,60189555
Morgan Chow,morgan.chow7@gmail.com,47104974
Jamie Lam,jamie.lam8@yahoo.com,91703423
Jamie Lau,jamie.lau9@outlook.com,26846563
Alex Lee,alex.lee10@gmail.com,79244026
Sam Chow,sam.chow11@gmail.com,78666617
Casey Chan,casey.chan13@gmail.com,39624595
Alex Chan,alex.chan14@example.com,77412154
Chris Yip,chris.yip15@outlook.com,28084148
Chris Lam,chris.lam16@outlook.com,39336338
Sam Wong,sam.wong17@example.com,43957551
Alex Cheung,alex.cheung18@example.com,99075116
Taylor Lau,taylor.lau19@outlook.com,16761222
Chris Chow,chris.chow20@yahoo.com,99752882
Kit Chan,kit.chan21@example.com,33043483
Sam Ng,sam.ng22@gmail.com,57986828
Casey Yip,casey.yip23@yahoo.com,90222791
Kit Lam,kit.lam24@example.com,18033401
Morgan Yip,morgan.yip25@gmail.com,75989834
