customer_email,product_sku,quantity,order_date,note
alex.chan14@example.com,SKU-003,2,2025-10-21,first order
casey.yip23@yahoo.com,SKU-012,2,2025-12-13,first order
kit.lam24@example.com,SKU-004,2,2025-09-23,first order
jamie.lee6@example.com,SKU-014,1,2025-11-24,VIP
sam.chow11@gmail.com,SKU-003,4,2025-11-29,deliver pm
chris.yip15@outlook.com,SKU-001,2,2025-12-03,
alex.yip4@yahoo.com,SKU-008,1,2026-01-04,first order
jamie.lau9@outlook.com,SKU-005,2,2025-09-28,gift
sam.wong17@example.com,SKU-019,2,2025-10-17,
casey.yip23@yahoo.com,SKU-006,2,2025-09-22,
kit.chan21@example.com,SKU-003,3,2026-01-04,
chris.yip15@outlook.com,SKU-001,3,2025-11-05,VIP
chris.chow20@yahoo.com,SKU-005,1,2025-11-08,first order
jamie.lau9@outlook.com,SKU-002,2,2025-12-20,gift
morgan.yip25@gmail.com,SKU-007,3,2025-11-18,
jamie.lau9@outlook.com,SKU-002,1,2026-01-12,first order
chris.yip15@outlook.com,SKU-004,4,2025-10-02,gift
casey.chan13@gmail.com,SKU-017,3,2025-10-18,VIP
morgan.chow7@gmail.com,SKU-005,2,2025-12-01,
casey.lee3@gmail.com,SKU-009,2,2025-12-25,deliver pm
sam.wong17@example.com,SKU-010,1,2025-12-14,first order
jamie.lee6@example.com,SKU-009,2,2026-01-14,VIP
alex.cheung18@example.com,SKU-011,2,2026-01-10,first order
sam.lee1@gmail.com,SKU-011,2,2026-01-04,first order
jamie.lam8@yahoo.com,SKU-017,1,2026-01-03,first order
casey.chan13@gmail.com,SKU-019,1,2025-11-25,first order
casey.lee3@gmail.com,SKU-019,1,2025-09-27,gift
casey.chan13@gmail.com,SKU-011,4,2025-11-12,gift
kit.chan21@example.com,SKU-005,1,2025-10-01,gift
alex.chan5@gmail.com,SKU-017,1,2025-11-03,gift
casey.yip23@yahoo.com,SKU-008,1,2026-01-11,VIP
alex.yip4@yahoo.com,SKU-013,2,2025-11-04,gift
sam.ng22@gmail.com,SKU-008,2,2025-12-12,
kit.lam24@example.com,SKU-017,1,2026-01-03,deliver pm
jamie.lau9@outlook.com,SKU-003,3,2025-12-15,deliver pm
chris.lam16@outlook.com,SKU-013,1,2025-11-14,gift
kit.chan21@example.com,SKU-007,1,2025-10-30,VIP
chris.chow20@yahoo.com,SKU-019,2,2026-01-13,VIP
sam.ng22@gmail.com,SKU-004,4,2025-12-18,gift
alex.lee10@gmail.com,SKU-015,2,2025-11-16,gift
