full_name,email,phone
Sam Lee, Sam.Lee1 @gmail.com,5908 3016
Alex Cheung,ALEX.CHEUNG2@gmail.com,39099603
Casey Lee, Casey.Lee3 @gmail.com,(852) 9482-1993
Alex Yip,Alex.Yip4@yahoo.com,(852) 7865-7975
Taylor Lee,  ALEX.CHAN5@gmail.com ,8757-4911
Jamie Lee, Jamie.Lee6 @example.com,6018-9555
Morgan Chow, Morgan.Chow7 @gmail.com,  4710-4974  
Jamie Lam,JAMIE.LAM8@yahoo.com,9170 3423
Jamie Lau,JAMIE.LAU9@outlook.com,+852 2684 6563
Alex Lee,ALEX.LEE10@gmail.com,7924-4026
Sam Chow,Sam.Chow11@gmail.com,  7866-6617  
Jamie Wong,  ALEX.CHAN5@gmail.com ,+852 2159 0109
Casey Chan,Casey.Chan13@gmail.com,3962 4595
Alex Chan,Alex.Chan14@example.com,7741 2154
Chris Yip,CHRIS.YIP15@outlook.com,(852) 2808-4148
Chris Lam,Chris.Lam16@outlook.com,3933 6338
Sam Wong,Sam.Wong17@example.com,+852 4395 7551
Alex Cheung,Alex.Cheung18@example.com,  9907-5116  
Taylor Lau,Taylor.Lau19@outlook.com,16761222
Chris Chow,Chris.Chow20@yahoo.com,99752882
Kit Chan,Kit.Chan21@example.com,3304-3483
Sam Ng,Sam.Ng22@gmail.com,+852 5798 6828
Casey Yip,CASEY.YIP23@yahoo.com,9022-2791
Kit Lam,Kit.Lam24@example.com,1803-3401
Morgan Yip,MORGAN.YIP25@gmail.com,7598 9834
