customer_email,product_sku,quantity,order_date,note
Alex.Chan14@example.com,SKU-003,2,21-10-2025, first order 
CASEY.YIP23@yahoo.com,SKU-012,2,2025/12/13, first order 
Kit.Lam24@example.com,SKU-004, 2 , 23/09/2025 , first order 
 Jamie.Lee6 @example.com,SKU-014,1 ,24-11-2025,VIP
Sam.Chow11@gmail.com,SKU-003, 4,2025-11-29,  deliver pm  
CHRIS.YIP15@outlook.com,SKU-001, 2 ,03-12-2025,
Alex.Yip4@yahoo.com,SKU-008,1,04-01-2026, first order 
JAMIE.LAU9@outlook.com,SKU-005, 2 ,28-09-2025,gift
Sam.Wong17@example.com,SKU-019, 2 , 17-10-2025 ,
CASEY.YIP23@yahoo.com,SKU-006, 2 ,2025-09-22,
Kit.Chan21@example.com,SKU-003,3, 2026/01/04 ,
CHRIS.YIP15@outlook.com,SKU-001,3,05/11/2025,VIP
Chris.Chow20@yahoo.com,SKU-005,1,2025/11/08, first order 
JAMIE.LAU9@outlook.com,SKU-002,2,20-12-2025,gift
MORGAN.YIP25@gmail.com,SKU-007,3,2025/11/18,
JAMIE.LAU9@outlook.com,SKU-002,1,2026/01/12, first order 
CHRIS.YIP15@outlook.com,SKU-004, 4,02/10/2025,gift
Casey.Chan13@gmail.com,SKU-017,3,2025/10/18,VIP
 Morgan.Chow7 @gmail.com,SKU-005, 2 ,2025-12-01,
 Casey.Lee3 @gmail.com,SKU-009, 2 , 2025-12-25 ,  deliver pm  
Sam.Wong17@example.com,SKU-010,1 , 14-12-2025 , first order 
 Jamie.Lee6 @example.com,SKU-009, 2 ,14-01-2026,VIP
Alex.Cheung18@example.com,SKU-011,2,10-01-2026, first order 
 Sam.Lee1 @gmail.com,SKU-011, 2 ,04/01/2026, first order 
JAMIE.LAM8@yahoo.com,SKU-017,1,03-01-2026, first order 
Casey.Chan13@gmail.com,SKU-019,1,2025-11-25, first order 
 Casey.Lee3 @gmail.com,SKU-019,1 ,2025/09/27,gift
Casey.Chan13@gmail.com,SKU-011, 4,2025/11/12,gift
Kit.Chan21@example.com,SKU-005,1,01/10/2025,gift
  ALEX.CHAN5@gmail.com ,SKU-017,1 ,2025-11-03,gift
CASEY.YIP23@yahoo.com,SKU-008,1, 2026-01-11 ,VIP
Alex.Yip4@yahoo.com,SKU-013, 2 ,2025-11-04,gift
Sam.Ng22@gmail.com,SKU-008, 2 ,2025-12-12,
Kit.Lam24@example.com,SKU-017,1 ,2026-01-03,  deliver pm  
JAMIE.LAU9@outlook.com,SKU-003,3,2025/12/15,  deliver pm  
Chris.Lam16@outlook.com,SKU-013,1,14-11-2025,gift
Kit.Chan21@example.com,SKU-007,1,2025/10/30,VIP
Chris.Chow20@yahoo.com,SKU-019,2, 13/01/2026 ,VIP
Sam.Ng22@gmail.com,SKU-004, 4,18/12/2025,gift
ALEX.LEE10@gmail.com,SKU-015, 2 ,2025-11-16,gift
